calculated_cost_usd,input_tokens,output_tokens,total_tokens,model,provider,timestamp_utc,request_id,date,time,status
1.6499999999999998e-05,38,18,56,gpt-4o-mini-2024-07-18,openai,2025-12-13T05:34:15.393929+00:00,chatcmpl-CmCYgt2RS5kEDZ0FzWpZW2GTaq6h9,2025-12-13,05:34:15,success
5.4749999999999996e-05,39,36,75,claude-3-haiku-20240307,anthropic,2025-12-13T05:35:06.492439+00:00,msg_01QsUfG8ufA2D5dNqBiAmfaR,2025-12-13,05:35:06,success
6.9e-06,38,2,40,gemini-2.5-flash,gemini,2025-12-13T07:03:18.932728+00:00,,2025-12-13,07:03:18,success
1.6499999999999998e-05,38,18,56,gpt-4o-mini-2024-07-18,openai,2025-12-13T07:03:27.353842+00:00,chatcmpl-CmDx0dWTVkIxdPMMa22vbEDXm7QIG,2025-12-13,07:03:27,success
5.3500000000000006e-05,39,35,74,claude-3-haiku-20240307,anthropic,2025-12-13T07:03:28.239861+00:00,msg_013cc64xQcaEfrp2NGTMPMP9,2025-12-13,07:03:28,success
6.9e-06,38,2,40,gemini-2.5-flash,gemini,2025-12-13T07:03:28.978640+00:00,,2025-12-13,07:03:28,success
1.53e-05,38,16,54,gpt-4o-mini-2024-07-18,openai,2025-12-13T07:40:39.284695+00:00,chatcmpl-CmEX0981gL7aK96zWTZXTuugbp9iq,2025-12-13,07:40:39,success
5.3500000000000006e-05,39,35,74,claude-3-haiku-20240307,anthropic,2025-12-13T07:40:40.029531+00:00,msg_014znvZc1mhvxFtFhJb2jr14,2025-12-13,07:40:40,success
6.9e-06,38,2,40,gemini-2.5-flash,gemini,2025-12-13T07:40:40.848471+00:00,,2025-12-13,07:40:40,success
1.3499999999999998e-05,38,13,51,gpt-4o-mini-2024-07-18,openai,2025-12-13T07:41:20.472326+00:00,chatcmpl-CmEXfllfiZVa207jAiI5Fddn7uYEx,2025-12-13,07:41:20,success
5.1e-05,39,33,72,claude-3-haiku-20240307,anthropic,2025-12-13T07:41:21.298038+00:00,msg_01AR41ZYWxD3vsK4SQeoHH7E,2025-12-13,07:41:21,success
6.9e-06,38,2,40,gemini-2.5-flash,gemini,2025-12-13T07:41:21.963400+00:00,,2025-12-13,07:41:21,success
